ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,job,housing,loan,contact,emp.var.rate,cons.price.idx,cons.conf.idx,revolve_ind,delq_ind,score
1,20000,2,2,1,24,3913,3102,689,NA,0,0,0,689,0,0,0,0,housemaid,no,no,telephone,1.1,93.994,-36.4,0,1,0.45443264
2,120000,2,2,2,26,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,2000,services,no,no, ,1.1,93.994,-36.4,1,1,0.232041214
3,90000,2,2,2,34,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,services,yes,no,telephone,1.1,93.994,-36.4,1,0,0.458961406
4,50000,2,2,1,37,46990,NA,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,admin.,no,no,telephone,1.1,93.994,-36.4,0,1,0.292463734
5,50000,1,2,1,57,8617,5670,NA,20940,19146,19131,2000,36681,10000,9000,689,679,services,no,yes,telephone,1.1,93.994,-36.4,1,0,0.457645381
6,50000,1,1,2,37,64400,57069,57608,NA,19619,20024,2500,1815,657,1000,1000,800,services,no,no,telephone,1.1,93.994,-36.4,1,1,0.015776895
7,5.00E+05,1,1,2,29,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,13770,admin.,no,no, ,1.1,93.994,-36.4,0,0,0.713440207
8,1.00E+05,2,2,2,23,11876,380,601,221,NA,567,380,601,0,581,1687,1542,blue-collar,no,no,telephone,1.1,93.994,-36.4,0,0,0.485307737
9,140000,2,3,1,28,11285,14096,12108,12211,11793,3719,3329,0,432,1000,1000,1000,technician,yes,no,telephone,1.1,93.994,-36.4,1,1,0.352804086
10,20000,1,3,2,35,0,0,NA,NA,13007,13912,0,0,0,13007,1122,0,services,yes,no, ,1.1,93.994,-36.4,1,1,0.533629274
11,2.00E+05,2,3,2,34,11073,9787,5535,NA,1828,3731,2306,12,50,300,3738,66,blue-collar,no,no,telephone,1.1,93.994,-36.4,1,1,0.812419496
12,260000,2,1,2,51,12261,21670,9966,8517,22287,13668,21818,9966,8583,22301,0,3640,services,yes,no,telephone,1.1,93.994,-36.4,0,1,0.500572577
13,630000,2,2,2,41,12137,6500,6500,6500,NA,2870,1000,6500,6500,6500,2870,0,blue-collar,no,yes, ,1.1,93.994,-36.4,0,0,0.975855618
14,70000,1,2,2,30,65802,67369,65701,66782,36137,36894,3200,0,3000,3000,1500,0,housemaid,yes,no,telephone,1.1,93.994,-36.4,0,0,0.775427077
15,250000,1,1,2,29,70887,67060,63561,59696,56875,55512,3000,3000,3000,3000,3000,3000,blue-collar,yes,no,telephone,1.1,93.994,-36.4,1,1,0.335364923
16,50000,2,3,3,23,50614,29173,28116,28771,29531,30211,0,1500,1100,1200,1300,1100,retired,yes,yes,telephone,1.1,93.994,-36.4,1,1,0.230495607
17,20000,1,1,2,24,15376,18010,NA,NA,17905,19104,3200,0,1500,0,1650,0,blue-collar,yes,no,telephone,1.1,93.994,-36.4,1,1,0.955083809
18,320000,1,1,1,49,NA,NA,194663,70074,NA,195599,10358,10000,75940,20000,195599,50000,blue-collar,yes,yes,telephone,1.1,93.994,-36.4,0,1,0.136128128
19,360000,2,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,blue-collar,yes,yes,telephone,1.1,93.994,-36.4,0,0,0.608317771
20,180000,2,1,2,29,0,0,0,NA,0,0,0,0,0,0,0,0,management,no,no,telephone,1.1,93.994,-36.4,0,1,0.526761279
21,130000,2,3,2,39,38358,27688,24489,NA,11802,930,3000,1537,1000,2000,930,33764,unemployed,no,no,telephone,1.1,93.994,-36.4,0,0,0.23941401
22,120000,2,2,1,39,316,316,316,0,632,316,316,316,0,632,316,0,blue-collar,yes,no,telephone,1.1,93.994,-36.4,1,1,0.384363373
23,70000,2,2,2,26,41087,42445,45020,NA,46905,46012,2007,3582,0,3601,0,1820,retired,yes,no,telephone,1.1,93.994,-36.4,1,1,0.086639915
24,450000,2,1,1,40,5512,19420,1473,560,0,0,19428,1473,560,0,0,1128,technician,yes,no,telephone,1.1,93.994,-36.4,0,0,0.907730402
25,90000,1,1,2,23,4744,7070,NA,5398,6360,8292,5757,0,5398,1200,2045,2000,admin.,yes,no,telephone,1.1,93.994,-36.4,1,1,0.914798767
26,50000,1,3,2,23,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,technician,no,yes,telephone,1.1,93.994,-36.4,1,1,0.569029341
27,60000,1,1,2,27,-109,-425,259,NA,NA,NA,0,1000,0,500,0,1000,technician,yes,no,telephone,1.1,93.994,-36.4,1,1,0.039607547
28,50000,2,3,2,30,22541,16138,17163,17878,18931,19617,1300,1300,1000,1500,1000,1012,self-employed,no,no, ,1.1,93.994,-36.4,1,1,0.124036441
29,50000,2,3,1,47,650,3415,3416,2040,30430,257,3415,3421,2044,30430,257,0,technician,no,no,telephone,1.1,93.994,-36.4,0,0,0.360051869
30,50000,1,1,2,26,15329,16575,NA,17907,18375,11400,1500,1500,1000,1000,1600,0,unknown,unknown,unknown,telephone,1.1,93.994,-36.4,1,1,0.664415249
31,230000,2,1,2,27,16646,17265,13266,NA,14307,36923,17270,13281,15339,14307,37292,0,admin.,no,no,telephone,1.1,93.994,-36.4,1,1,0.417507524
32,50000,1,2,2,33,30518,29618,NA,NA,23217,23680,1718,1500,1000,1000,1000,716,technician,yes,no,telephone,1.1,93.994,-36.4,1,0,0.227534577
33,1.00E+05,1,1,2,32,NA,84071,82880,80958,78703,75589,3023,3511,3302,3204,3200,2504,blue-collar,no,no,telephone,1.1,93.994,-36.4,1,1,0.458129075
34,5.00E+05,2,2,1,54,10929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,management,yes,no,telephone,1.1,93.994,-36.4,0,0,0.765313765
35,5.00E+05,1,1,1,58,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,768,blue-collar,no,no,telephone,1.1,93.994,-36.4,0,1,0.195045955
36,160000,1,1,2,30,30265,-131,NA,-923,-1488,-1884,131,396,396,565,792,0,unknown,yes,no,telephone,1.1,93.994,-36.4,1,0,0.695655907
37,280000,1,2,1,40,186503,181328,180422,170410,173901,177413,8026,8060,6300,6400,6400,6737,services,no,no,telephone,1.1,93.994,-36.4,0,0,0.68532161
38,60000,2,2,2,22,15054,9806,11068,NA,NA,NA,1500,1518,2043,0,47671,617,technician,yes,no,telephone,1.1,93.994,-36.4,1,0,0.413764965
39,50000,1,1,2,25,0,780,0,0,NA,0,780,0,0,0,0,0,admin.,yes,no,telephone,1.1,93.994,-36.4,1,1,0.588833485
40,280000,1,1,2,31,498,9075,4641,NA,17976,9477,9075,0,9976,8000,9525,781,technician,yes,no,telephone,1.1,93.994,-36.4,1,0,0.995521184
